,V1,V2,V3,V4,V5,V6,V7
042b57e3d56c1021dcb396fe72c35bbc,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii
04301e073ead2f12f404bbb4e78c55cb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
043bb12c0e13fc8ea6ed74e8f4bfa52b,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
043e49b480de06ec4e44af156612947a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
044c8300ef379b87fd38e6f911db5887,Bacteria,NA,NA,NA,NA,NA,NA
047be4d68b83713b8ef5e865a342b728,Bacteria,NA,NA,NA,NA,NA,NA
048e9fb9119bee126284218bf0805b98,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Mogibacterium,diversum/neglectum
04abeb7c5d87fcb38b650145e76ff851,NA,NA,NA,NA,NA,NA,NA
04bc74efe1a908dfaa8d6914394d2e12,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA
04ca179133385a9211c9e6e5d1d9ae73,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
04eb9fadbee5232a5e40abb176960816,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,iners
04f808b5f67175bf98fc5fd4567fd40f,Bacteria,NA,NA,NA,NA,NA,NA
05080e533ea4d08c90cb4cd1706ab6a2,Bacteria,NA,NA,NA,NA,NA,NA
050d82a1964cb30b1fabec643c3741c0,NA,NA,NA,NA,NA,NA,NA
051e19ecfc78b6867d0e9e4d7ed5a451,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,kyeonggiensis/leidyi/pituitosa
052e458dfab06f06debff6e9ae5b80eb,Bacteria,NA,NA,NA,NA,NA,NA
056c38656433194678e971fdd10b347c,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
0574dc24738ddcfc1dbdb2cd09e280fc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
05980175c6a1584b0762bc05e45f5eaa,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
05bdbde8d40386ece7503f843e92268a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
05f9531907c014b9e1cfe95855445cad,Bacteria,Cyanobacteria/Chloroplast,Cyanobacteria,NA,NA,NA,NA
0610a6ff7e9e4f79d5f06a13250267d6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
063a421d46d583433dfa2e0c0e3522bb,NA,NA,NA,NA,NA,NA,NA
0648e6969bca9e09ca2f74d8deb023d3,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,simulans/striatum/xerosis
064bfd178bf9202868e3642047f21b03,Bacteria,NA,NA,NA,NA,NA,NA
064f91332e0cc7837991965f562907f8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
06532e756433c94978a4de7afaeff1c2,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,NA
065be6da9e2a79ad585f9721c5a6615c,Bacteria,NA,NA,NA,NA,NA,NA
06668e7c3896773025ba99c934add4e3,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,NA
0699b1b588fc7d29a09a831d3f71aadf,NA,NA,NA,NA,NA,NA,NA
069eacc84c2fe5741b918b931e80a759,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,haemolyticus
06a9f4dea6f48889cb59d6c8deac97d6,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
06c88a075ad598104cfa938079f74c83,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,NA
07143491351a24ff19d3aa279cd4175d,NA,NA,NA,NA,NA,NA,NA
07166e33ccf564db49455cc52f2ca1bc,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,vaginalis
07259748f57cf0bd078dfd6f20971333,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
0732138d3b65e29de18315ffec7b7001,NA,NA,NA,NA,NA,NA,NA
0744f782f716c07d92b2d53219a4d943,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,NA,NA
074d8f2e7eadb242242e36f41e133409,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,NA
07547e91cd54f317ee921b11ca47e235,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0783ae7840465ea0fd84e72432870c0b,Bacteria,NA,NA,NA,NA,NA,NA
079986607173d3255e64a2e1befd1be3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
079ac14f7ee15b6cb8bad1e1b3ee8d05,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,NA
07ac0dabab544eb920f127b5e13e08b5,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
07afd9d22a487aef6a683316fb37e4d9,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
07e446b5409de5cbf9a180cb37c78467,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,ruminantium
07f28107c56c0202ed935a841f8be4b8,Bacteria,NA,NA,NA,NA,NA,NA
07f5fd15a6929b08990b4db2faf082b0,Bacteria,NA,NA,NA,NA,NA,NA
0821285622e5c12f291aceb3f7df0213,Bacteria,NA,NA,NA,NA,NA,NA
08b431e101fc1fc17eb74b60d3b7e50e,Bacteria,NA,NA,NA,NA,NA,NA
08b52640c8573eb7975d0f7af7101dea,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
08c890b2173ff06dabd2fbfc039a4998,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,NA,NA,NA
08d06ebca7c54cca7380042c030f1907,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
0929a58bea78427517cf91d62ea27d83,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,NA
093ac969415d64655bd8414feac4b651,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,neuii
09411908df73efa39d4bb3240d330c3f,Bacteria,NA,NA,NA,NA,NA,NA
0956b3e6cc4df62c1dc8e85fda1628ae,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Nosocomiicoccus,NA
0961a94d4ca51d457189433626d0de8e,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,NA
09729536adc0e610cc72cb135de5636f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
098d4c87d45e0e1d22a1df8e5a513b84,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,NA
09c5abd00b3992a82d4690e523a4d891,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,NA
09c861f079c8b515d8e58165b65711ac,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
09ddb0534809d812276f754afc6d2c75,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,NA
09e78e378e34a3e16b393fde463a74ca,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae_Sedis_XI,Gemella,NA
09efee38227a124b1c4e61ab45cf5766,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
0a029fe85066ecc4648f54fa90871369,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0a433d261ae39ee17a5ed2febc23e030,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,NA
0a8e62a467b1acab903415daaf44fbc6,Bacteria,NA,NA,NA,NA,NA,NA
0aab15a5158c2a8c01728075727439f1,Bacteria,NA,NA,NA,NA,NA,NA
0ab20f61c93a97a4c791dc40028a757e,Bacteria,NA,NA,NA,NA,NA,NA
0aba12587ff459b4a0cec428dd8e1880,NA,NA,NA,NA,NA,NA,NA
0ad2b4fbb46d16ea84379abfcc39bfb2,Bacteria,NA,NA,NA,NA,NA,NA
0adb4f4e52e69aa4743ced75b77b8f89,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella,anthropi
0af95072e74cd4dad773ef52cdf159ba,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
0aff45b88b5f069d83a2eb2b4352f67c,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
0b0e2a77e1f85c9cf474e0e8ad3aa62b,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
0b3c097f630efa4cebaf2fec1468bf36,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,NA
0b6f5d060cab96257b934e58bc19728e,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,lugdunensis
0b8395a6bf0f84d1064597d363670c21,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,NA,NA
0b85423604d99fbed0e75ff36a10fb6c,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Ezakiella,peruensis
0b8a76d4572aaf36d2d3f40bcef54451,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tepidimicrobium,NA
0bb83cd021d8edd6fbc8ac32c1dadece,NA,NA,NA,NA,NA,NA,NA
0bbd4f99b30bf3a7f388123faa006a77,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
0bc52f60e566daa164145d2d0f366b0a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola
0bc593813fe761f4f1d8a696b4b96519,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
0bcd3c9b6941875c1a93888b245245e9,Bacteria,Candidatus_Saccharibacteria,NA,NA,NA,NA,bacterium
0bd5ceb711ddcfb0328192f3a0531ec6,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA
0bf1d09389a2f732f2485c33c35ce207,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,NA
0c18495744886065c332a884a754d66e,NA,NA,NA,NA,NA,NA,NA
0c35bbe3a6df9fd343bad542f31dcece,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA,NA
0c6129000d5287477df0c211ebeda1be,Bacteria,NA,NA,NA,NA,NA,NA
0c9f0def3e07bae28a85a620168d9e97,NA,NA,NA,NA,NA,NA,NA
0ca784b37d65c3c75da4b4a5034e673b,Bacteria,NA,NA,NA,NA,NA,NA
0ca7a1ec2cd1656daeb98c063152e1c6,Bacteria,NA,NA,NA,NA,NA,NA
0cbd069d07c9b55539758e996d8da3d9,Bacteria,NA,NA,NA,NA,NA,NA
0cc6d431218c688229640237dbe965e6,Bacteria,Candidatus_Saccharibacteria,NA,NA,NA,NA,NA
0ccc9f6e2dcc8faec8d4734754caafd4,Bacteria,NA,NA,NA,NA,NA,NA
0cef986c123831b26956fc4e36acd257,Bacteria,Bacteroidetes,NA,NA,NA,NA,NA
0d1610e73accd544a7b9645cea7e69c3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
0d235bf0d28f72de9a945fde28224160,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
0d6685811f325a04a80d841fdafe2b8b,NA,NA,NA,NA,NA,NA,NA
0d67f0952d0a198c2dc623a68fd77b25,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
0daf89aba1304d803fbf0515b2c331ac,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,NA
0dbd04ad35507cdef539406c1bd0c4db,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
0dbd4625c874b220147b88752f028b62,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
0dcce96e9144280da71026b6133c1be6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0dd5fc2b39b2ac03ef395a110b3b6460,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,NA
0ddfbc2a67f813d97b74a933216f7af0,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,coyleae
0de5ce0632257a36cd7cb28561a36c7d,NA,NA,NA,NA,NA,NA,NA
0df4e535a2e521b9597702cae55ac737,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0dffa2302425f2bbe0c8c4acf47b72b0,Bacteria,NA,NA,NA,NA,NA,NA
0e03f8e85e74d6e4f899ba3abcb490df,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Anaerococcus,NA
0e0f4ac84a760506531d7b903c2ee931,Bacteria,NA,NA,NA,NA,NA,NA
0e22ff2781d16d029461bd050f31fa03,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,haemolyticus/influenzae
0e2b3f0419f3afbba1b023843c17e368,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,NA
0e48a9f9f658de669210eba8562dc9b8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,NA
0e5c901bb215ae43d8adfbc73b042ca7,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
0e5f87fbfa0931503da628430a932f0c,NA,NA,NA,NA,NA,NA,NA
0e639cea99bcdf67ee25e68fa26f78f3,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,NA
0e94dd3633920b15e7edc7fee55626f4,Bacteria,NA,NA,NA,NA,NA,NA
0e9628236a38d7a79b59d8db34b5c075,Bacteria,NA,NA,NA,NA,NA,NA
0e9eac82e7557253c7ab9ea8cae6ff37,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
0ea058237964c10e1f9b42d4a15abfad,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,NA
0ee5e645b99848f45f83d18fca207af2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
0eeb2fd76cc946fcf630b09d256f7f27,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,NA
0ef33f6f5145d38f959008a85cc2dfd1,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA
0f014ee398b16beb033b38f03fbda057,Bacteria,NA,NA,NA,NA,NA,NA
0f15a50a8cbb4b78c19a55cc6987699b,Bacteria,NA,NA,NA,NA,NA,NA
0f381d8bd4c60eb07342c90017de8c01,NA,NA,NA,NA,NA,NA,NA
0f48757304719c8eb39776fb50605f06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0f48ebffb6759a2dd5b216241fb37793,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,NA
0f55eb7b72035591e305abb96880cb23,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,NA,NA,NA
0f59c21fda71dac8096d43d9d2b2f7a1,Bacteria,NA,NA,NA,NA,NA,NA
0fa9004ac1e270b339480af410083845,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
0fabc8c52774eda37f3f80cd597fe01b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
0fb00d02fb24b6a609477d0d6d84abdf,Bacteria,NA,NA,NA,NA,NA,NA
0fb9dddaba7796aaecfb0e9ebcbac0a3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
0fbdaba5b995258e74a433d08b996a06,Bacteria,NA,NA,NA,NA,NA,NA
0ff83ee5b08c36023655b4546bd848be,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,NA
0ffcb439b5de809c02e6ae6e6ab013c2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Anaerovorax,NA
100613d1741ed8f4dfd292f07fce465f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
101719846e0b0d7eb7c2a3faf53db67a,Bacteria,NA,NA,NA,NA,NA,NA
106175a7b8917a79c62ffe3607e51446,Bacteria,NA,NA,NA,NA,NA,NA
10672996795c39f65f11b852e0584c7f,Bacteria,NA,NA,NA,NA,NA,NA
1077adafb6b9e5b0e2b2734803e1b806,NA,NA,NA,NA,NA,NA,NA
1099837aedd3c90384fff9b0d7196efc,Bacteria,NA,NA,NA,NA,NA,NA
10c8553c0cba15a4fbaaf4e4514de142,Bacteria,NA,NA,NA,NA,NA,NA
10cdbfa281fbaaefdb5ed8a9a476fbb6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
110cb43abcabfcc20c49749c1ffaf1d8,Bacteria,NA,NA,NA,NA,NA,NA
1139a95231b0e59a402addcd54d3216e,Bacteria,NA,NA,NA,NA,NA,NA
1184c618bc52dbc7cdc02965fcd44ffa,NA,NA,NA,NA,NA,NA,NA
119d3587a158c5598bac764729385750,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,NA
11ad59612c449c9180c85777261c77c9,Bacteria,NA,NA,NA,NA,NA,NA
11d05a4b2eed023abc488211ea426cf5,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
11ef1421c202c94536da109a98ff80a5,NA,NA,NA,NA,NA,NA,NA
11f69f3215532359d2ca50eccacf005e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
11f8a5edba5bc4cd2d839395d0e65485,Bacteria,NA,NA,NA,NA,NA,NA
121bc8ed93b3a53508ae5fe8143eba7d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
122f9b63a4071bda5acd83d81cee5130,Bacteria,NA,NA,NA,NA,NA,NA
12356ec9020095b46f706f3e36079aab,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA
12382769706c86d4083d3560b8051cf1,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
127147f94149d2f11e89006eb48204ac,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,NA
128c2c3f0f3af69cc1c5a09d57a0e52e,Bacteria,NA,NA,NA,NA,NA,NA
12b0385ec9a2a1fe16b2e54819958114,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
12cfe203b499838290a14ee13041e283,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus
12d93520f44c0271170211e58956eda8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
130fdc8642c3e25b255f10bb8fc7355d,NA,NA,NA,NA,NA,NA,NA
1344d465acef7eb931609b84c89d56c6,Bacteria,NA,NA,NA,NA,NA,NA
137ccc53369ba41da91fa7d297944ed1,Bacteria,NA,NA,NA,NA,NA,NA
1391dd7cb8de92135b3011640cadfcca,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
13991831cee1d39671ea66b2a6ad7515,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA
13a55b1745e40c54d0882eb75a92f8db,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Anaerovorax,NA
13ba85d093c508cbe8713ed0aa37a985,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
13bc11a428a526c795147e21a53ac1d3,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
13cd8506841715b42ac8ee0049f86e3d,Bacteria,NA,NA,NA,NA,NA,NA
13d8aef8b37e8eb753a0b4f018db5df6,Bacteria,NA,NA,NA,NA,NA,NA
13eaa924b29726fa00b2056b4ef3dbc8,Bacteria,NA,NA,NA,NA,NA,NA
13f503d58b59050c428c8d77aca51dd3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,NA
1401173913cb8cdb9b87e4775ab491d5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
1406f6c29e913557eb333ed2d7e1c464,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,NA
1412101bca8ce9f9600d64cd4708ac30,NA,NA,NA,NA,NA,NA,NA
1416a31a1385070dde8291be76efe025,Bacteria,NA,NA,NA,NA,NA,NA
141eb44fa7a23cb34ced36755791a6ff,Bacteria,NA,NA,NA,NA,NA,NA
14208c27b26532e1e6727d59545c939a,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,NA
142c618f4ae416305648d9dd27a0f0af,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella,NA
1435f4676f180a87dd3e6746258838ab,Bacteria,NA,NA,NA,NA,NA,NA
143cdaf35f6fd5878a34cacb996aab55,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,NA
143ef8e928d75ddf3b5623d53eec7501,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,NA
14416af7981ea41e5175fea03ecbfaf4,Bacteria,NA,NA,NA,NA,NA,NA
